"SAN FRANCISCO – It has never been easy to have a rational conversation about the value of gold.","SAN FRANCISCO – Es war noch nie leicht, ein rationales Gespräch über den Wert von Gold zu führen."
"Lately, with gold prices up more than 300% over the last decade, it is harder than ever.","In letzter Zeit allerdings ist dies schwieriger denn je, ist doch der Goldpreis im letzten Jahrzehnt um über 300 Prozent angestiegen."
"Just last December, fellow economists Martin Feldstein and Nouriel Roubini each penned op-eds bravely questioning bullish market sentiment, sensibly pointing out gold’s risks.","Erst letzten Dezember verfassten meine Kollegen Martin Feldstein und Nouriel Roubini Kommentare, in denen sie mutig die vorherrschende optimistische Marktstimmung hinterfragten und sehr überlegt auf die Risiken des Goldes  hinwiesen."
"Wouldn’t you know it?","Und es kam, wie es kommen musste."
"Since their articles appeared, the price of gold has moved up still further.","Seit der Veröffentlichung ihrer Artikel ist der Goldpreis noch weiter gestiegen."
"Gold prices even hit a record-high $1,300 recently.","Jüngst erreichte er sogar ein Rekordhoch von 1.300 Dollar."
"Last December, many gold bugs were arguing that the price was inevitably headed for $2,000.","Im letzten Dezember argumentierten die Goldbugs, dass der Preis zweifellos in Richtung 2.000 Dollar gehen würde."
"Now, emboldened by continuing appreciation, some are suggesting that gold could be headed even higher than that.","Beflügelt aufgrund des anhaltenden Aufwärtstrends, meint man nun mancherorts, dass Gold sogar noch höher steigen könnte."
"One successful gold investor recently explained to me that stock prices languished for a more than a decade before the Dow Jones index crossed the 1,000 mark in the early 1980’s.","Ein erfolgreicher Gold-Investor erklärte mir vor kurzem, dass die Aktienkurse über ein Jahrzehnt dahingedümpelt waren, bevor der Dow Jones-Index in den frühen 1980er Jahren die Marke von 1.000 Punkten überschritt."
"Since then, the index has climbed above 10,000.","Seit damals ist er auf über 10.000 Punkte gestiegen."
"Now that gold has crossed the magic $1,000 barrier, why can’t it increase ten-fold, too?","Nun hat Gold die magische Grenze von 1.000 Dollar überschritten, warum sollte sich sein Wert daher nicht auch verzehnfachen?  "
"Admittedly, getting to a much higher price for gold is not quite the leap of imagination that it seems.","Zugegeben: Es bedarf keiner großen Fantasie, um sich einen noch höheren Goldpreis vorzustellen."
"After adjusting for inflation, today’s price is nowhere near the all-time high of January 1980.","Denn inflationsbereinigt erreicht der Goldpreis von heute nicht annähernd das Allzeithoch von Januar 1980."
"Back then, gold hit $850, or well over $2,000 in today’s dollars.","Damals lag Gold bei 850 Dollar, also in heutigem Geldwert um einiges über 2.000 Dollar."
"But January 1980 was arguably a “freak peak” during a period of heightened geo-political instability.","Allerdings gab es im Januar 1980 offensichtlich einen „Freak Peak“ in einer Zeit erhöhter geopolitischer Instabilität."
"At $1,300, today’s price is probably more than double very long-term, inflation-adjusted, average gold prices.","Bei einem Wert von 1.300 Dollar ist der heutige Preis wohl doppelt so hoch wie die sehr langfristigen, inflationsbereinigten Durchschnitts-Goldpreise."
"So what could justify another huge increase in gold prices from here?","Was also könnte einen weiteren kolossalen Anstieg des Goldpreises von diesem Wert aus begründen?"
"One answer, of course, is a complete collapse of the US dollar.","Eine Möglichkeit wäre natürlich der totale Zusammenbruch des US-Dollars."
"With soaring deficits, and a rudderless fiscal policy, one does wonder whether a populist administration might recklessly turn to the printing press.","Angesichts ausufernder Defizite und einer richtungslosen Fiskalpolitik fragt man sich, ob eine populistische Administration nicht doch leichtsinnigerweise die Gelddruckmaschine anwerfen würde."
"And if you are really worried about that, gold might indeed be the most reliable hedge.","Und wer sich in dieser Hinsicht wirklich Sorgen macht, könnte in Gold tatsächlich die verlässlichste Absicherung finden.  "
"Sure, some might argue that inflation-indexed bonds offer a better and more direct inflation hedge than gold.","Natürlich kann man einwenden, dass inflationsindexierte Anleihen eine bessere und direktere Absicherung seien, als Gold."
"But gold bugs are right to worry about whether the government will honor its commitments under more extreme circumstances.","Aber die Goldbugs machen sich zu Recht Sorgen, ob die Regierung ein derartiges Engagement unter extremeren Umständen würdigte."
"In fact, as Carmen Reinhart and I discuss in our recent book on the history of financial crises, This Time is Different, cash-strapped governments will often forcibly convert indexed debt to non-indexed debt, precisely so that its value might be inflated away.","Wie Carmen Reinhart und ich in unserem jüngsten Buch über die Geschichte von Finanzkrisen Dieses Mal ist alles anders, zeigen, konvertieren Pleiteregierungen diese indexierten Anleihen oftmals zwangsweise in nicht indexierte, auf dass sich ihr Wert weginflationiere."
